Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Product ID,Product Name,Category,Sub-Category,Region,State,City,Sales,Profit,Quantity,Discount,Ship Mode,Salesperson,Payment Method
ORD-104304,29/08/2024,09-02-2024,IA-94080,Isaiah Avila,home office,OFF-PA-7807,Xerox Wireless Paper,Office Supplies,Paper,East ,New York, Albany,1357.7,424.42,10,0.0,First Class,Michael Morrison,Credit Card
ORD-100636,04/03/2023,,EK-22704,Elizabeth Kelley, Home Office,TEC-PH-1550,HP Heavy-Duty Phone,technology,Phones,East,New York,buffalo,"$5,397.18",497.17,4,0.2,First Class,Ryan Landry,Bank Transfer
ORD-107625,2023-03-28,2023-04-02,LB-94012,Lisa Barnes,Corporate,TEC-MA-6053,Lenovo Portable Machine,TECHNOLOGY,Machines,West,California,San Diego,2000.5,114.35,2,2.0,First Class,Travis Hobbs,Credit Card 
ORD-110379,"Feb 25, 2025",01/03/2025,JW-57576,John Whitehead,Corporate,OFF-SU-1086,Fellowes Heavy-Duty Supplie,OFFICE SUPPLIES,Supplies,West,Washington,Spokane,499.3,48.11,9,0.0,FIRST CLASS,suzanne wood,PayPal
ORD-109771,10/04/2025,10-10-2025,SM-79822,Stephen Mckee ,consumer,FUR-FU-1436,DMI Compact Furnishing, Furniture,Furnishings,South,Florida,Orlando,3486.0,1066.86,7,0.1,Second Class,David Robinson,Cash 
ORD-110539,2024-12-24,2024-12-26,MV-23710,Morgan Valencia,CONSUMER,FUR-FU-5927,Bush Premium Furnishing,Furniture,Furnishings,Central,Illinois,Chicago,"$7,463.90",2035.75,12,0.2,Second Class,Kyle Chambers , Gift Card
ORD-112163,09/18/2025,2025-09-22,SM-40982,Stephanie Manning, Consumer,TEC-CO-2223,Dell Premium Copier,Technology,Copiers,EAST,NEW YORK,Buffalo,2860.5,730.1,8,0.0,Same Day,Felicia Krueger, Bank Transfer
ORD-103396,17/04/2023,04/20/2023,EA-52245,Erica Alvarez,Consumer,OFF-LA-3758,Boston Portable Label,Office Supplies,Labels,CENTRAL,Texas,Houston,36.9,-3.42,1,0.5,Standard Class,Kristen Rowe,GIFT CARD
ORD-108293,11/20/2025,"Nov 26, 2025",DT-25157, Desiree Tyler,Corporate,OFF-ST-4968,Acme Classic Storage,Office Supplies,Storage,West,OREGON,Eugene,223.76,58.54,9,0.15,First Class,Kristen Rowe,Credit Card
ORD-107857,"Sep 22, 2023",09-26-2023,ML-51245,Michael Lewis,Consumer,FUR-BO-5186,Bush Standard Bookcase,Furniture,Bookcases,central,Illinois,Chicago,"$1,227.91",-172.72,5,0.15,Standard Class,Travis Hobbs,Gift Card
ORD-102722,04/05/2022,2022-05-06,TM-19807,Tammy Mcdowell,Corporate,TEC-PH-3222,Canon Portable Phone,Technology,Phones,Central, Texas, Houston,"$5,076.59",535.87,6,0.1,First Class,James Webster,Cash
ORD-110454,29/05/2022,04/06/2022,SM-15014,Susan Murray MD,CONSUMER,OFF-FA-9037,Xerox Ergonomic Fastener,Office Supplies,Fasteners,East, New Jersey,Newark,714.72,173.9,8,0.0, Second Class,Michael Morrison,Gift Card
ORD-102558,08/07/2025,07/15/2025,RB-83772,Robin Brown,Corporate,FUR-BO-5295,Novimex Pro Bookcase,Furnture,Bookcases,Central,Ohio,Cleveland,"2,930.69",-381.73,6,0.1,Same Day,Maria Henry,Credit Card
